Purchased_price,Product_Quantity,Sales_Revenue,Sales_Price,Product_Type_Low Fat,Product_Type_Regular,Product_Category_Baking Goods,Product_Category_Breads,Product_Category_Breakfast,Product_Category_Canned,Product_Category_Dairy,Product_Category_Frozen Foods,Product_Category_Fruits and Vegetables,Product_Category_Hard Drinks,Product_Category_Health and Hygiene,Product_Category_Household,Product_Category_Meat,Product_Category_Others,Product_Category_Seafood,Product_Category_Snack Foods,Product_Category_Soft Drinks,Product_Category_Starchy Foods,Store_Location_Tier_Tier 2,Store_Location_Tier_Tier 3,Store_Location_Tier_Tier1,Store_Type_Grocery Store,Store_Type_Supermarket Type1,Store_Type_Supermarket Type2,Store_Type_Supermarket Type3
0.27728337236533956,0.07136788445199657,0.06621373881160358,0.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0.8196721311475409,0.46771452846219197,0.33408821309177184,0.8214285714285712,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0.4182669789227166,0.09515717926932879,0.15550523023832633,0.6785714285714279,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0.5526932084309133,0.05947323704333049,0.23994392321794455,0.75,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.8665105386416861,0.47833474936278675,0.34864660843308526,0.75,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0.7072599531615924,0.4842820730671198,0.2518063194219778,0.8571428571428568,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.8243559718969555,0.3746813933729821,0.3418526906071391,0.6785714285714279,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0.765807962529274,0.7005097706032286,0.31467701930335384,0.4642857142857144,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0.42154566744730676,0.10577740016992351,0.2450124015960315,0.2857142857142856,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0.42154566744730676,0.09728122344944773,0.11075164455947374,0.9285714285714288,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.6252927400468383,0.8453695836873407,0.4395556993421762,0.6428571428571423,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0.882903981264637,0.9320305862361937,0.6058449261296236,0.8571428571428568,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0.6838407494145199,0.7009345794392523,0.2514827995255042,0.7857142857142856,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0.648711943793911,0.5671197960917587,0.6549121104281247,0.75,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0.35807962529274,0.04587935429056922,0.1669362665803947,0.39285714285714324,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0.5456674473067915,0.032285471537807975,0.04443006578237895,0.8214285714285712,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0.8711943793911007,0.2757009345794393,0.4384772996872641,0.4285714285714288,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.8758782201405151,0.9566694987255735,0.49131888277795754,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0.8196721311475409,0.6091758708581139,0.33214709371293005,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0.46838407494145196,0.4893797790994052,0.6084330853014127,0.6428571428571423,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.0,0.4103653355989805,0.44753585678852587,0.07142857142857117,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.414519906323185,0.3865760407816483,0.2551493583522053,0.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0.0,0.023364485981308414,0.05726302167583307,0.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0.0,0.23831775700934577,0.3475682087781732,0.8571428571428568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0.6252927400468383,0.8457943925233645,0.550846543729106,0.7142857142857135,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0.6370023419203746,0.6856414613423959,0.4037528307990942,0.8214285714285712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0.5690866510538641,0.4035683942225998,0.054890542435026425,0.75,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0.7423887587822013,0.12361937128292266,0.4117329882454438,0.7857142857142856,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0.0,0.7026338147833475,0.12078076135015636,0.8928571428571423,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0.4775175644028103,0.4672897196261683,0.13221179769222474,0.8928571428571423,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0.39180327868852455,0.028037383177570097,0.12347676048743664,0.9285714285714288,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.7072599531615924,0.6924384027187765,0.7897120672921384,0.7857142857142856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0.0,0.6308411214953271,0.13889787555267982,0.8928571428571423,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0.46838407494145196,0.9150382327952422,0.5102987167044106,0.8571428571428568,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,0.02888700084961765,0.07289981667205866,0.6071428571428568,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.0,0.08326253186066271,0.01833279413350588,0.14285714285714235,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
